date,team1,score1,team2,score2,forfeit,overtime
2026-08-29,New Covenant Academy,1,West Plains,2,False,False
2026-08-31,Father Tolton,1,Battle with Columbia Independent,2,False,False
2026-08-31,Gateway with Soldan International Studies,0,Bayless,7,False,False
2026-08-31,Platte County,1,Blue Springs South,9,False,False
2026-08-31,Ewing Marion Kauffman with University Academy Charter,0,Faith Christian Academy,3,False,False
2026-08-31,Parkway West,0,Francis Howell Central,2,False,False
2026-08-31,Pattonville,3,Lafayette (Wildwood),5,False,False
2026-08-31,Park Hill,0,Lincoln College Prep,2,False,False
2026-08-31,Marquette,0,SLUH,3,False,False
2026-08-31,Northeast (Kansas City),3,St. Michael the Archangel,0,False,False
2026-08-31,Wright City,1,Sullivan,7,False,False
2026-08-31,University City,0,Veritas Christian Academy,7,False,False
2026-09-01,St. Pius X (Festus),3,Affton,2,False,False
2026-09-01,Lutheran (Kansas City),0,Barstow,8,False,False
2026-09-01,Gateway Science Charter,0,Bayless,6,False,False
2026-09-01,Monett,3,Bolivar,4,False,False
2026-09-01,Nixa,3,Branson,0,False,False
2026-09-01,Green Ridge with Cole Camp,8,Calvary Lutheran,0,False,False
2026-09-01,Rolla,2,Camdenton,3,False,False
2026-09-01,Neosho,4,Carl Junction,1,False,False
2026-09-01,Glendale,6,Carthage,1,False,False
2026-09-01,Cameron,1,Chillicothe,4,False,False
2026-09-01,Battle with Columbia Independent,7,Christian Fellowship Sr. with Hallsville,0,False,False
2026-09-01,Boonville,1,Clinton,7,False,False
2026-09-01,Laquey with Richland,3,Crocker,2,False,False
2026-09-01,Brentwood,1,DeSoto,5,False,False
2026-09-01,Mexico,3,Elsberry,2,False,False
2026-09-01,Moberly,8,Eugene,0,False,False
2026-09-01,Lindbergh,2,Eureka,3,False,False
2026-09-01,Hillcrest,2,Fair Grove,6,False,False
2026-09-01,North County,0,Festus,1,False,False
2026-09-01,Bishop DuBourg,0,Fox,2,False,False
2026-09-01,Timberland,4,Ft. Zumwalt North,0,False,False
2026-09-01,Webster Groves,0,Ft. Zumwalt South,1,False,False
2026-09-01,Francis Howell,1,Ft. Zumwalt West,2,False,False
2026-09-01,De Smet Jesuit,1,Hickman,2,False,False
2026-09-01,Waynesville,0,Jefferson City,4,False,False
2026-09-01,Willard,3,Kickapoo,2,False,False
2026-09-01,Raytown South,6,Knob Noster,0,False,False
2026-09-01,Aurora,0,Lebanon,3,False,False
2026-09-01,Francis Howell North,4,Liberty (Wentzville),3,False,False
2026-09-01,Ozark,3,Logan-Rogersville,4,False,False
2026-09-01,Priory,3,Lutheran South,1,False,False
2026-09-01,Harrisonville,1,Marshall,4,False,False
2026-09-01,Warrensburg,1,Maryville,5,False,False
2026-09-01,Clayton,3,Mehlville,1,False,False
2026-09-01,John Burroughs,3,MICDS,1,False,False
2026-09-01,Central (Springfield),1,New Heights Christian with McAuley Catholic,0,False,False
2026-09-01,Grandview,2,North Kansas City,1,False,False
2026-09-01,Ft. Zumwalt East,2,North Point,1,False,False
2026-09-01,Frontier STEM,1,Northland Christian,5,False,False
2026-09-01,Lafayette (Wildwood),2,Northwest (Cedar Hill),3,False,False
2026-09-01,Grain Valley,1,Oak Park,3,False,False
2026-09-01,Jackson,0,Oakville,1,False,False
2026-09-01,Winfield,0,Orchard Farm,6,False,False
2026-09-01,Southern Boone,3,Osage,2,False,False
2026-09-01,Rockhurst,2,Park Hill South,0,False,False
2026-09-01,Cristo Rey,3,Paseo Academy,1,False,False
2026-09-01,Troy Buchanan,2,Pattonville,1,False,False
2026-09-01,Notre Dame (Cape Girardeau),5,Perryville,1,False,False
2026-09-01,Westminster Christian Academy,1,Principia,2,False,False
2026-09-01,Liberty,3,Raymore-Peculiar,0,False,False
2026-09-01,Christian Brothers College,2,Rockwood Summit,1,False,False
2026-09-01,Excelsior Springs,4,Ruskin,0,False,False
2026-09-01,Kearney,2,Savannah,4,False,False
2026-09-01,Farmington,3,Saxony Lutheran with St. Vincent,2,False,False
