Date,Home Team,Home Score,Away Team,Away Score
2026-09-01,Bishop DuBourg,0,Fox,2
2026-09-01,Pacific,4,Fredericktown,1
2026-09-01,Timberland,4,Ft. Zumwalt North,0
2026-09-01,Webster Groves,0,Ft. Zumwalt South,1
2026-09-01,Francis Howell,1,Ft. Zumwalt West,2
2026-09-01,Fatima,1,Fulton,5
2026-09-01,De Smet Jesuit,1,Hickman,2
2026-09-01,Waynesville,0,Jefferson City,4
2026-09-01,Willard,3,Kickapoo,2
2026-09-01,Raytown South,6,Knob Noster,0
2026-09-01,Aurora,0,Lebanon,3
2026-09-01,Francis Howell North,4,Liberty (Wentzville),3
2026-09-01,Ozark,3,Logan-Rogersville,4
2026-09-01,Priory,3,Lutheran South,1
2026-09-01,Harrisonville,1,Marshall,4
2026-09-01,Warrensburg,1,Maryville,5
2026-09-01,Clayton,3,Mehlville,1
2026-09-01,John Burroughs,3,MICDS,1
2026-09-01,Central (Springfield),1,New Heights Christian with McAuley Catholic,0
2026-09-01,Grandview,2,North Kansas City,1
2026-09-01,Ft. Zumwalt East,2,North Point,1
2026-09-01,Frontier STEM,1,Northland Christian,5
2026-09-01,Lafayette (Wildwood),2,Northwest (Cedar Hill),3
2026-09-01,Grain Valley,1,Oak Park,3
2026-09-01,Jackson,0,Oakville,1
2026-09-01,Winfield,0,Orchard Farm,6
2026-09-01,Southern Boone,3,Osage,2
2026-09-01,Rockhurst,2,Park Hill South,0
2026-09-01,Kirkwood,0,Parkway West,1
2026-09-01,Cristo Rey,3,Paseo Academy,1
2026-09-01,Troy Buchanan,2,Pattonville,1
2026-09-01,Notre Dame (Cape Girardeau),5,Perryville,1
2026-09-01,Westminster Christian Academy,1,Principia,2
2026-09-01,Liberty,3,Raymore-Peculiar,0
2026-09-01,Christian Brothers College,2,Rockwood Summit,1
2026-09-01,Excelsior Springs,4,Ruskin,0
2026-09-01,Kearney,2,Savannah,4
2026-09-01,Farmington,3,Saxony Lutheran with St. Vincent,2
2026-09-01,St. Mary's South Side,0,SLUH,7
2026-09-01,Lincoln College Prep,5,Smith-Cotton,0
2026-09-01,Raytown,2,Smithville,1
2026-09-01,Republic,0,Springfield Catholic,7
2026-09-01,Holt,0,St. Charles,8
2026-09-01,Central (St. Joseph),0,Staley,2
2026-09-01,Washington,1,Sullivan,3
2026-09-01,Center,1,Summit Christian Academy,6
2026-09-01,Pleasant Hill,3,Truman,2
2026-09-01,Windsor (Imperial),2,Union,3
2026-09-01,Collegiate School of Med-Bio Science with McKinley Classical Leadership,2,University City,1
2026-09-01,Liberty North,3,Van Horn,2
2026-09-01,St. Dominic,1,Vianney,0
2026-09-01,St. Charles West,1,Warrenton,2
2026-09-01,Greenwood,1,West Plains,4
2026-09-01,Parkway Central,5,Whitfield,0
2026-09-01,Oak Grove,2,William Chrisman,1
2026-09-01,Fort Osage,3,Winnetonka,1
2026-09-02,Lincoln College Prep,1,Blue Springs South,9
2026-09-02,Benton,1,Central (St. Joseph),5
2026-09-02,Rock Bridge,4,Father Tolton,0
2026-09-02,Fredericktown,1,Festus,0
